"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.942908708E0,-6.877942362E-1,3.271692574E-2,-3.570292336E-1
1.952885708E0,-8.669339204E-1,-3.175174047E-1,-3.952355254E-1
1.962863708E0,-8.287919480E-1,-4.431237830E-1,-1.839978433E-1
1.972841708E0,-3.766007414E-1,-3.159218457E-1,3.351349193E-1
1.982818708E0,2.684456706E-2,-1.196045038E-1,7.995529461E-1
1.992796708E0,2.713549528E-1,1.846930772E-2,7.542919886E-1
2.002773708E0,4.564204976E-1,1.822588813E-1,2.859370315E-1
2.012751708E0,5.501680291E-1,3.987431239E-1,-1.589349228E-1
2.022729708E0,2.026694646E-1,4.417831627E-1,-3.662280732E-1
2.032706708E0,-5.354687136E-1,1.915001133E-1,-1.612919354E-1
2.042684708E0,-1.058302471E0,4.913356841E-2,-4.707517308E-1
2.052662708E0,-1.275560739E0,1.866986722E-2,-1.143494942E0
2.062639708E0,-1.116621431E0,-1.622163802E-2,-1.625477419E0
2.072617708E0,-8.092493838E-1,-3.401676178E-2,-1.763688056E0
2.082594708E0,-5.479225521E-1,-1.087832080E-1,-1.325590686E0
2.092572708E0,-2.504619741E-1,-2.060938865E-2,-1.586425620E-1
2.102550708E0,1.029335073E-1,-3.861340418E-2,9.990961969E-1
2.112527708E0,4.726080756E-1,-1.084513785E-1,1.392181701E0
2.122505708E0,5.321091959E-1,-7.869358242E-2,1.148687269E0
2.132483708E0,2.794742502E-1,-5.009850517E-2,5.101409143E-1
2.142460708E0,-2.964845315E-1,5.759463564E-2,-1.258747655E-1
2.152438708E0,-1.267062688E0,3.321496233E-2,-2.991891611E-1
2.162415708E0,-1.827708197E0,-2.286498132E-1,-4.962835979E-1
2.172393708E0,-1.733461021E0,-4.057929656E-1,-7.752232665E-1
2.182371708E0,-9.615133645E-1,-2.621036343E-1,-9.722691715E-1
2.192348708E0,4.882037692E-1,8.537095651E-2,-1.135573719E0
2.202326708E0,1.403319331E0,3.659222639E-1,-1.372318125E-1
2.212304708E0,1.463651926E0,3.699968961E-1,1.581583541E0
2.222281708E0,1.387423822E0,1.962237865E-2,2.732160630E0
2.232259708E0,1.235637705E0,-2.559126024E-1,3.023126852E0
2.242236708E0,1.294155762E0,-9.221804604E-2,2.187121779E0
2.252214708E0,1.076621286E0,2.061419798E-1,7.827340150E-1
