"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.037608981E2,6.507661773E1,2.552564036E1,2.021937030E1,1.610118402E0,1.949047546E2,4.748651416E0,5.910665231E0
1.047608895E2,6.507660480E1,2.552562497E1,2.094754910E1,1.634280059E0,1.949047546E2,4.748651427E0,5.967472630E0
1.057608806E2,6.507659299E1,2.552561246E1,2.049046095E1,1.608051552E0,1.949047546E2,4.748651413E0,5.880925950E0
1.067608719E2,6.507657890E1,2.552560580E1,2.009658584E1,1.639381032E0,1.949047546E2,4.748651418E0,5.888647968E0
1.077608629E2,6.507656650E1,2.552560022E1,1.970486503E1,1.611021565E0,1.949047546E2,4.748651405E0,5.885572425E0
1.087608536E2,6.507655518E1,2.552558644E1,1.995969495E1,1.665187868E0,1.949047546E2,4.748651415E0,5.976898932E0
1.097608457E2,6.507654172E1,2.552557351E1,2.036191799E1,1.763496948E0,1.949047546E2,4.748651397E0,6.067207686E0
1.107608367E2,6.507652931E1,2.552555714E1,2.007945313E1,1.742218919E0,1.949047546E2,4.748651407E0,6.024704899E0
1.117608281E2,6.507651519E1,2.552554778E1,2.021709666E1,1.750074330E0,1.949047546E2,4.748651416E0,6.055298338E0
1.127608198E2,6.507650232E1,2.552553726E1,2.014199566E1,1.719228638E0,1.949047546E2,4.748651427E0,6.020954896E0
1.137608106E2,6.507648635E1,2.552553251E1,2.028755108E1,1.776767910E0,1.949047546E2,4.748651421E0,6.061275356E0
1.147608023E2,6.507647275E1,2.552551926E1,2.043107445E1,1.768508620E0,1.949047546E2,4.748651426E0,6.028057678E0
1.157607944E2,6.507645942E1,2.552550445E1,2.076900248E1,1.738378368E0,1.949047546E2,4.748651443E0,5.917175296E0
1.167607858E2,6.507644706E1,2.552549255E1,2.066266898E1,1.762540510E0,1.949047546E2,4.748651428E0,5.989273710E0
1.177607770E2,6.507643513E1,2.552547999E1,2.063330729E1,1.703297147E0,1.949047546E2,4.748651424E0,5.956289906E0
1.187607692E2,6.507642288E1,2.552546821E1,2.065082695E1,1.732845709E0,1.949047546E2,4.748651422E0,5.899522790E0
1.197607605E2,6.507641169E1,2.552545941E1,2.064509483E1,1.442325338E0,1.949047546E2,4.748651446E0,5.733086442E0
1.207607518E2,6.507640559E1,2.552544250E1,2.068322632E1,1.221692594E0,1.949047546E2,4.748651464E0,5.386025628E0
1.217607437E2,6.507639445E1,2.552542478E1,2.022568913E1,1.371967751E0,1.949047546E2,4.748651456E0,5.383355650E0
1.227607352E2,6.507638332E1,2.552540972E1,2.001061675E1,1.381215359E0,1.949047546E2,4.748651452E0,5.387667665E0
1.237607266E2,6.507637098E1,2.552539462E1,1.988765892E1,1.449211094E0,1.949047546E2,4.748651447E0,5.350369859E0
1.247607179E2,6.507636314E1,2.552538572E1,1.949087621E1,1.160638459E0,1.949047546E2,4.748651452E0,5.644239760E0
1.257607095E2,6.507635278E1,2.552537188E1,1.941568250E1,1.284955253E0,1.949047546E2,4.748651448E0,5.399805568E0
1.267607017E2,6.507633979E1,2.552535321E1,1.959299061E1,1.386185992E0,1.949047546E2,4.748651420E0,5.267720996E0
1.277606925E2,6.507632973E1,2.552533434E1,1.943027792E1,1.404498154E0,1.949047546E2,4.748651438E0,5.277275983E0
1.287606854E2,6.507631850E1,2.552531416E1,1.945663679E1,1.474567275E0,1.949047546E2,4.748651440E0,5.307470221E0
1.297606757E2,6.507630911E1,2.552530491E1,1.956007823E1,1.177008302E0,2.112096515E2,4.748651451E0,5.668244338E0
1.307606677E2,6.507629517E1,2.552528953E1,1.939928790E1,1.463355211E0,2.087197035E2,4.748651437E0,5.313422827E0
1.317606592E2,6.507628735E1,2.552527798E1,1.931266001E1,1.157983219E0,2.097511991E2,4.748651433E0,5.643389153E0
1.327616884E2,6.507627367E1,2.552525646E1,1.932353806E1,1.508137428E0,2.111741239E2,4.748651422E0,5.277005907E0
1.337617091E2,6.507626489E1,2.552524682E1,1.958591644E1,1.144094101E0,2.090324989E2,4.748651433E0,5.663899028E0
1.347617130E2,6.507625211E1,2.552522592E1,1.926030545E1,1.527000368E0,2.091139428E2,4.748651437E0,5.242586055E0
1.357617328E2,6.507623857E1,2.552521168E1,1.936679835E1,1.523507231E0,2.079466124E2,4.748651439E0,5.167865790E0
1.367617464E2,6.507622461E1,2.552520385E1,1.948451795E1,1.467353137E0,2.043251747E2,4.748651444E0,5.169339049E0
1.377617428E2,6.507621229E1,2.552519130E1,1.930683187E1,1.486861777E0,2.044380348E2,4.748651439E0,5.194313142E0
1.387617517E2,6.507620289E1,2.552518171E1,1.898724505E1,1.312435620E0,2.049795115E2,4.748651454E0,5.182245961E0
1.397617673E2,6.507619034E1,2.552516909E1,1.910057550E1,1.364258652E0,2.065454062E2,4.748651438E0,5.210425811E0
1.407617635E2,6.507617890E1,2.552515048E1,1.915583084E1,1.512058326E0,2.091016800E2,4.748651448E0,5.213454643E0
1.417617749E2,6.507616842E1,2.552513260E1,1.934409773E1,1.533272011E0,2.094633481E2,4.748651431E0,5.231154750E0
1.427617868E2,6.507616114E1,2.552512091E1,1.943388746E1,1.151900655E0,2.072737427E2,4.748651451E0,5.567989647E0
1.437617809E2,6.507615087E1,2.552510278E1,1.910109306E1,1.320823938E0,2.072737427E2,4.748651445E0,5.370729459E0
1.447617958E2,6.507613921E1,2.552508292E1,1.915327972E1,1.488147038E0,2.072737427E2,4.748651426E0,5.195153448E0
1.457617992E2,6.507613022E1,2.552507343E1,1.915226319E1,1.152076414E0,2.072737427E2,4.748651443E0,5.659008856E0
1.467617887E2,6.507611936E1,2.552505456E1,1.910055170E1,1.388302677E0,2.072737427E2,4.748651440E0,5.292549864E0
1.477617805E2,6.507610515E1,2.552503883E1,1.929966808E1,1.475646924E0,2.072737427E2,4.748651432E0,5.260088978E0
1.487617731E2,6.507609701E1,2.552502823E1,1.926525580E1,1.165899427E0,2.072737427E2,4.748651441E0,5.658816386E0
1.497617651E2,6.507608300E1,2.552500918E1,1.931510552E1,1.476260849E0,2.068442230E2,4.748651442E0,5.237288720E0
1.507617561E2,6.507607373E1,2.552499681E1,1.896768996E1,1.172702758E0,2.068442230E2,4.748651450E0,5.647897062E0
1.517617476E2,6.507605763E1,2.552497959E1,1.891855862E1,1.530462089E0,2.068442230E2,4.748651432E0,5.229594403E0
1.527617396E2,6.507604705E1,2.552497325E1,1.916716154E1,1.172537550E0,2.075862274E2,4.748651443E0,5.630000774E0
1.537617320E2,6.507603528E1,2.552495489E1,1.887868408E1,1.512567314E0,2.075862274E2,4.748651435E0,5.220897559E0
1.547617233E2,6.507602388E1,2.552494272E1,1.863059568E1,1.456537089E0,2.075862274E2,4.748651435E0,5.134925715E0
1.557617155E2,6.507601527E1,2.552492913E1,1.857453944E1,1.297157213E0,2.075862274E2,4.748651447E0,5.139309062E0
1.567617069E2,6.507600503E1,2.552490956E1,1.847530694E1,1.366359070E0,2.075862274E2,4.748651438E0,5.113372616E0
1.577616985E2,6.507599329E1,2.552489079E1,1.853275032E1,1.451343825E0,2.075862274E2,4.748651427E0,5.125571283E0
1.587616900E2,6.507598510E1,2.552487984E1,1.861219383E1,1.287399927E0,2.075862274E2,4.748651439E0,5.133484239E0
1.597616814E2,6.507597228E1,2.552486182E1,1.873089358E1,1.394310558E0,2.075862274E2,4.748651429E0,5.120636314E0
1.607616730E2,6.507595810E1,2.552485118E1,1.893213659E1,1.372116770E0,2.075862274E2,4.748651431E0,5.129696488E0
1.617616646E2,6.507594712E1,2.552483820E1,1.907927533E1,1.325968265E0,2.075862274E2,4.748651436E0,5.124507264E0
1.627616563E2,6.507593671E1,2.552482342E1,1.897268065E1,1.357189417E0,2.075862274E2,4.748651441E0,5.134193437E0
1.637616477E2,6.507593144E1,2.552480979E1,1.892223341E1,1.184267845E0,2.075862274E2,4.748651446E0,5.096900375E0
1.647616392E2,6.507591657E1,2.552478992E1,1.899856703E1,1.443693959E0,2.075862274E2,4.748651424E0,5.128093255E0
1.657616309E2,6.507590965E1,2.552477620E1,1.888327089E1,1.116894641E0,2.075862274E2,4.748651433E0,5.582587108E0
1.667616228E2,6.507589704E1,2.552475618E1,1.935561199E1,1.367974643E0,2.075862274E2,4.748651427E0,5.219371270E0
1.677616138E2,6.507588681E1,2.552474017E1,1.950069323E1,1.299772482E0,2.075862274E2,4.748651453E0,5.105550102E0
